"scenario","model","eau_id","wmd_id","x_coord","y_coord","acquired_period","acquired_year","prevented_loss"
"rcp45_dry","greedy",1,"Arrowwood",-304634.632937059,2765423.77681413,NA,NA,0
"rcp45_dry","greedy",2,"Arrowwood",-286121.096105294,2765423.77681413,NA,NA,0
"rcp45_dry","greedy",3,"Arrowwood",-267607.559273529,2765423.77681413,NA,NA,0
"rcp45_dry","greedy",4,"Arrowwood",-249094.022441765,2765423.77681413,NA,NA,0
"rcp45_dry","greedy",5,"Arrowwood",-304634.632937059,2746938.5657337,NA,NA,0
"rcp45_dry","greedy",6,"Arrowwood",-286121.096105294,2746938.5657337,NA,NA,0
"rcp45_dry","greedy",7,"Arrowwood",-267607.559273529,2746938.5657337,NA,NA,0
"rcp45_dry","greedy",8,"Arrowwood",-249094.022441765,2746938.5657337,NA,NA,0
"rcp45_dry","greedy",9,"Arrowwood",-230580.48561,2746938.5657337,NA,NA,0
"rcp45_dry","greedy",10,"Arrowwood",-212066.948778235,2746938.5657337,5,2060,864.5746970784
"rcp45_dry","greedy",11,"Arrowwood",-193553.41194647,2746938.5657337,NA,NA,0
"rcp45_dry","greedy",12,"Arrowwood",-304634.632937059,2728453.35465326,NA,NA,0
"rcp45_dry","greedy",13,"Arrowwood",-286121.096105294,2728453.35465326,NA,NA,0
"rcp45_dry","greedy",14,"Arrowwood",-267607.559273529,2728453.35465326,NA,NA,0
"rcp45_dry","greedy",15,"Arrowwood",-249094.022441765,2728453.35465326,NA,NA,0
"rcp45_dry","greedy",16,"Arrowwood",-230580.48561,2728453.35465326,NA,NA,0
"rcp45_dry","greedy",17,"Arrowwood",-212066.948778235,2728453.35465326,NA,NA,0
"rcp45_dry","greedy",18,"Arrowwood",-193553.41194647,2728453.35465326,NA,NA,0
"rcp45_dry","greedy",19,"Arrowwood",-286121.096105294,2709968.14357283,1,2020,2504.69240485996
"rcp45_dry","greedy",20,"Arrowwood",-267607.559273529,2709968.14357283,NA,NA,0
"rcp45_dry","greedy",21,"Arrowwood",-249094.022441765,2709968.14357283,NA,NA,0
"rcp45_dry","greedy",22,"Arrowwood",-230580.48561,2709968.14357283,NA,NA,0
"rcp45_dry","greedy",23,"Arrowwood",-212066.948778235,2709968.14357283,NA,NA,0
"rcp45_dry","greedy",24,"Arrowwood",-193553.41194647,2709968.14357283,NA,NA,0
"rcp45_dry","greedy",25,"Arrowwood",-249094.022441765,2691482.93249239,3,2040,938.101185046171
"rcp45_dry","greedy",26,"Arrowwood",-230580.48561,2691482.93249239,NA,NA,0
"rcp45_dry","greedy",27,"Arrowwood",-212066.948778235,2691482.93249239,NA,NA,0
"rcp45_dry","greedy",28,"Arrowwood",-193553.41194647,2691482.93249239,NA,NA,0
"rcp45_dry","greedy",29,"Arrowwood",-249094.022441765,2672997.72141196,3,2040,985.971889067266
"rcp45_dry","greedy",30,"Arrowwood",-230580.48561,2672997.72141196,NA,NA,0
"rcp45_dry","greedy",31,"Arrowwood",-212066.948778235,2672997.72141196,NA,NA,0
"rcp45_dry","greedy",32,"Arrowwood",-193553.41194647,2672997.72141196,NA,NA,0
"rcp45_dry","greedy",33,"Arrowwood",-249094.022441765,2654512.51033152,9,2100,184.725945378697
"rcp45_dry","greedy",34,"Arrowwood",-230580.48561,2654512.51033152,NA,NA,0
"rcp45_dry","greedy",35,"Arrowwood",-212066.948778235,2654512.51033152,NA,NA,0
"rcp45_dry","greedy",36,"Arrowwood",-193553.41194647,2654512.51033152,NA,NA,0
"rcp45_dry","greedy",37,"Arrowwood",-249094.022441765,2636027.29925109,7,2080,479.715372854381
"rcp45_dry","greedy",38,"Arrowwood",-230580.48561,2636027.29925109,NA,NA,0
"rcp45_dry","greedy",39,"Arrowwood",-212066.948778235,2636027.29925109,NA,NA,0
"rcp45_dry","greedy",40,"Arrowwood",-193553.41194647,2636027.29925109,NA,NA,0
"rcp45_dry","greedy",41,"Audubon",-434229.390759412,2839364.62113587,NA,NA,0
"rcp45_dry","greedy",42,"Audubon",-415715.853927647,2839364.62113587,NA,NA,0
"rcp45_dry","greedy",43,"Audubon",-397202.317095882,2839364.62113587,NA,NA,0
"rcp45_dry","greedy",44,"Audubon",-434229.390759412,2820879.41005543,NA,NA,0
"rcp45_dry","greedy",45,"Audubon",-415715.853927647,2820879.41005543,NA,NA,0
"rcp45_dry","greedy",46,"Audubon",-397202.317095882,2820879.41005543,NA,NA,0
"rcp45_dry","greedy",47,"Audubon",-378688.780264118,2820879.41005543,NA,NA,0
"rcp45_dry","greedy",48,"Audubon",-434229.390759412,2802394.198975,NA,NA,0
"rcp45_dry","greedy",49,"Audubon",-415715.853927647,2802394.198975,NA,NA,0
"rcp45_dry","greedy",50,"Audubon",-397202.317095882,2802394.198975,NA,NA,0
"rcp45_dry","greedy",51,"Audubon",-378688.780264118,2802394.198975,NA,NA,0
"rcp45_dry","greedy",52,"Audubon",-434229.390759412,2783908.98789456,NA,NA,0
"rcp45_dry","greedy",53,"Audubon",-415715.853927647,2783908.98789456,NA,NA,0
"rcp45_dry","greedy",54,"Audubon",-397202.317095882,2783908.98789456,NA,NA,0
"rcp45_dry","greedy",55,"Audubon",-378688.780264118,2783908.98789456,NA,NA,0
"rcp45_dry","greedy",56,"Audubon",-471256.464422941,2765423.77681413,NA,NA,0
"rcp45_dry","greedy",57,"Audubon",-452742.927591177,2765423.77681413,NA,NA,0
"rcp45_dry","greedy",58,"Audubon",-434229.390759412,2765423.77681413,NA,NA,0
"rcp45_dry","greedy",59,"Audubon",-415715.853927647,2765423.77681413,NA,NA,0
"rcp45_dry","greedy",60,"Audubon",-397202.317095882,2765423.77681413,NA,NA,0
"rcp45_dry","greedy",61,"Audubon",-378688.780264118,2765423.77681413,NA,NA,0
"rcp45_dry","greedy",62,"Audubon",-360175.243432353,2765423.77681413,4,2050,1589.62725715835
"rcp45_dry","greedy",63,"Audubon",-341661.706600588,2765423.77681413,NA,NA,0
"rcp45_dry","greedy",64,"Audubon",-323148.169768824,2765423.77681413,NA,NA,0
